id,name,line_id,prefecture_id
302,石狩月形,12,1
303,豊ケ岡,12,1
304,札比内,12,1
305,晩生内,12,1
306,札的,12,1
307,浦臼,12,1
308,鶴沼,12,1
309,於札内,12,1
310,南下徳富,12,1
311,下徳富,12,1
312,新十津川,12,1
313,深川,13,1
314,北一已,13,1
315,秩父別,13,1
316,北秩父別,13,1
317,石狩沼田,13,1
318,真布,13,1
319,恵比島,13,1
320,峠下,13,1
321,幌糠,13,1
322,藤山,13,1
323,大和田,13,1
324,留萌,13,1
325,瀬越,13,1
326,浜中海水浴場,13,1
327,礼受,13,1
328,阿分,13,1
329,信砂,13,1
330,舎熊,13,1
331,朱文別,13,1
332,箸別,13,1
333,増毛,13,1
334,旭川,14,1
335,神楽岡,14,1
336,緑が丘,14,1
337,西御料,14,1
338,西瑞穂,14,1
339,西神楽,14,1
340,西聖和,14,1
341,千代ケ岡,14,1
342,北美瑛,14,1
343,美瑛,14,1
344,美馬牛,14,1
345,上富良野,14,1
346,西中,14,1
347,ラベンダー畑,14,1
348,中富良野,14,1
349,鹿討,14,1
350,学田,14,1
351,富良野,14,1
352,旭川,15,1
353,旭川四条,15,1
354,新旭川,15,1
355,永山,15,1
356,北永山,15,1
357,南比布,15,1
358,比布,15,1
359,北比布,15,1
360,蘭留,15,1
361,塩狩,15,1
362,和寒,15,1
363,東六線,15,1
364,剣淵,15,1
365,北剣淵,15,1
366,士別,15,1
367,下士別,15,1
368,多寄,15,1
369,瑞穂,15,1
370,風連,15,1
371,名寄高校,15,1
372,名寄,15,1
373,日進,15,1
374,北星,15,1
375,智恵文,15,1
376,智北,15,1
377,南美深,15,1
378,美深,15,1
379,初野,15,1
380,紋穂内,15,1
381,恩根内,15,1
382,豊清水,15,1
383,天塩川温泉,15,1
384,咲来,15,1
385,音威子府,15,1
386,筬島,15,1
387,佐久,15,1
388,天塩中川,15,1
389,歌内,15,1
390,問寒別,15,1
391,糠南,15,1
392,雄信内,15,1
393,安牛,15,1
394,南幌延,15,1
395,上幌延,15,1
396,幌延,15,1
397,下沼,15,1
398,豊富,15,1
399,徳満,15,1
400,兜沼,15,1
401,勇知,15,1
402,抜海,15,1
403,南稚内,15,1
404,稚内,15,1
405,旭川,16,1
406,旭川四条,16,1
407,新旭川,16,1
408,南永山,16,1
409,東旭川,16,1
410,北日ノ出,16,1
411,桜岡,16,1
412,当麻,16,1
413,将軍山,16,1
414,伊香牛,16,1
415,愛別,16,1
416,中愛別,16,1
417,愛山,16,1
418,安足間,16,1
419,東雲,16,1
420,上川,16,1
421,上白滝,16,1
422,白滝,16,1
423,旧白滝,16,1
424,下白滝,16,1
425,丸瀬布,16,1
426,瀬戸瀬,16,1
427,遠軽,16,1
428,安国,16,1
429,生野,16,1
430,生田原,16,1
431,金華,16,1
432,西留辺蘂,16,1
433,留辺蘂,16,1
434,相内,16,1
435,東相内,16,1
436,西北見,16,1
437,北見,16,1
438,柏陽,16,1
439,愛し野,16,1
440,端野,16,1
441,緋牛内,16,1
442,美幌,16,1
443,西女満別,16,1
444,女満別,16,1
445,呼人,16,1
446,網走,16,1
447,網走,17,1
448,桂台,17,1
449,鱒浦,17,1
450,藻琴,17,1
451,北浜,17,1
452,原生花園,17,1
453,浜小清水,17,1
454,止別,17,1
455,知床斜里,17,1
456,中斜里,17,1
457,南斜里,17,1
458,清里町,17,1
459,札弦,17,1
460,緑,17,1
461,川湯温泉,17,1
462,美留和,17,1
463,摩周,17,1
464,南弟子屈,17,1
465,磯分内,17,1
466,標茶,17,1
467,五十石,17,1
468,茅沼,17,1
469,塘路,17,1
470,細岡,17,1
471,釧路湿原,17,1
472,遠矢,17,1
473,東釧路,17,1
474,釧路,17,1
475,中小国,18,2
476,奥津軽いまべつ,18,2
477,竜飛海底,18,2
478,吉岡海底,18,1
479,知内,18,1
480,木古内,18,1
481,江差,19,1
482,上ノ国,19,1
483,中須田,19,1
484,桂岡,19,1
485,宮越,19,1
486,湯ノ岱,19,1
487,神明,19,1
488,吉堀,19,1
489,渡島鶴岡,19,1
490,木古内,374,1
491,札苅,374,1
492,泉沢,374,1
493,釜谷,374,1
494,渡島当別,374,1
495,茂辺地,374,1
496,上磯,374,1
497,清川口,374,1
498,久根別,374,1
499,東久根別,374,1
500,七重浜,374,1
501,五稜郭,374,1
502,函館,374,1
503,八戸,20,2
504,新庄,21,6
505,泉田,21,6
506,羽前豊里,21,6
507,真室川,21,6
508,釜淵,21,6
509,大滝,21,6
510,及位,21,6
511,院内,21,5
512,横堀,21,5
513,三関,21,5
514,上湯沢,21,5
515,湯沢,21,5
516,下湯沢,21,5
517,十文字,21,5
518,醍醐,21,5
519,柳田,21,5
520,横手,21,5
521,後三年,21,5
522,飯詰,21,5
523,大曲,21,5
524,神宮寺,21,5
525,刈和野,21,5
526,峰吉川,21,5
527,羽後境,21,5
528,大張野,21,5
529,和田,21,5
530,四ツ小屋,21,5
531,秋田,21,5
532,泉外旭川,21,5
533,土崎,21,5
534,上飯島,21,5
535,追分,21,5
536,大久保,21,5
537,羽後飯塚,21,5
538,井川さくら,21,5
539,八郎潟,21,5
540,鯉川,21,5
541,鹿渡,21,5
542,森岳,21,5
543,北金岡,21,5
544,東能代,21,5
545,鶴形,21,5
546,富根,21,5
547,二ツ井,21,5
548,前山,21,5
549,鷹ノ巣,21,5
550,糠沢,21,5
551,早口,21,5
552,下川沿,21,5
553,大館,21,5
554,白沢,21,5
555,陣場,21,5
556,津軽湯の沢,21,2
557,碇ケ関,21,2
558,長峰,21,2
559,大鰐温泉,21,2
560,石川,21,2
561,弘前,21,2
562,撫牛子,21,2
563,川部,21,2
564,北常盤,21,2
565,浪岡,21,2
566,大釈迦,21,2
567,鶴ケ坂,21,2
568,津軽新城,21,2
569,新青森,21,2
570,青森,21,2
571,野辺地,23,2
572,北野辺地,23,2
573,有戸,23,2
574,吹越,23,2
575,陸奥横浜,23,2
576,有畑,23,2
577,近川,23,2
578,金谷沢,23,2
579,赤川,23,2
580,下北,23,2
581,大湊,23,2
582,東能代,24,5
583,能代,24,5
584,向能代,24,5
585,北能代,24,5
586,鳥形,24,5
587,沢目,24,5
588,東八森,24,5
589,八森,24,5
590,滝ノ間,24,5
591,あきた白神,24,5
592,岩館,24,5
593,大間越,24,2
594,白神岳登山口,24,2
595,松神,24,2
596,十二湖,24,2
597,陸奥岩崎,24,2
598,陸奥沢辺,24,2
599,ウェスパ椿山,24,2
600,艫作,24,2
601,横磯,24,2
602,深浦,24,2
603,広戸,24,2
604,追良瀬,24,2
605,驫木,24,2
606,風合瀬,24,2
607,大戸瀬,24,2
608,千畳敷,24,2
609,北金ケ沢,24,2
610,陸奥柳田,24,2
611,陸奥赤石,24,2
612,鰺ケ沢,24,2
613,鳴沢,24,2
614,越水,24,2
615,陸奥森田,24,2
616,中田,24,2
617,木造,24,2
618,五所川原,24,2
619,陸奥鶴田,24,2
620,鶴泊,24,2
621,板柳,24,2
622,林崎,24,2
623,藤崎,24,2
624,川部,24,2
625,青森,25,2
626,油川,25,2
627,津軽宮田,25,2
